Id,Sentiment,Instagram Comment Text,cleaned_text,original_length,cleaned_length
23,negative,"Dlu inul goyang ngebor baju ketat dcekal. Hrs ny ni jg dg sgja goyang dada mulu, suara ga sbrpa. Mrsk moral ank muda yg nnton bawaannya nafsu aja nanti ????",dlu inul goyang ngebor baju ketat dcekal hrs ny ni dengan sgja goyang dada mulu suara sbrpa mrsk moral ank muda nnton bawa nafsu nanti,30,25
24,negative,Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada,pnyanyi dangdut tidak kelas bgini bukan y nonjolin suara malah nonjolin dada,13,12
25,negative,"Najis najis udh homo aja harusnya, org kaya gini di musnahkan dari muka bumi",najis najis homo harus orang kayak gin musnah muka bumi,14,10
26,negative,"Haduuh ini orang gak punya akhlak bangeg, perasaan kerjaan berantem mulu, banyak musuhnya",haduuh orang punya akhlak bangeg asa kerja antem mulu banyak musuh,13,11
27,negative,S lonte ini bkn sensasi ngjak ribut org mulu sampah,s lacur bukan sensasi ngjak ribut orang mulu sampah,10,9
28,negative,Kayak banci dh mirip nenek2 pny cucu . Mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm..,kayak banci dh mirip nenek pny cucu mw operasi mua top ttp kalau asli ny cantik luar,23,17
29,negative,Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu,lebih bagus kalau diam hahahahahaha jahat akuuu,10,7
30,negative,Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN??,walaupun oplas permak sekalipun tetep jelek pokok muka tegang kayak banci sekian,14,12
31,negative,"Mending liat dek molen biarpun cowok tp cuantik, gak kaya ini cewe tp malah kayak bencong wkwkwk ??",mending lihat adik molen biarpun cowok cuantik kayak cewe malah kayak banci wkwk,18,13
32,negative,bencong rombeng.menjijikan!!!gay jg.,banci rombeng jijik gay,3,4
33,negative,"Orang gila itu ???? pengen HITZ cri tenar rela dipenjara? Cari sensasi settingan supaya beken smpe hina2 org,,, astagfirullah... Sekaya apa sih??? Org kaya mulut nya ky sampah,ga sekolah ya???",orang gila ken hitz cri tenar rela penjara cari sensasi rekayasa beken smpe hina orang astagfirullah kaya apa sih orang kayak mulut nya ky sampah sekolah,30,26
34,negative,Cowok macam anjing cuihhh... Orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia...karena semua orang juga tau klo dia orang kaya... Orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling anehhh,cowok macam anjing cuihhh orang kayak pernah koar gua orang ping kayak dunia semua orang tau kalau orang kayak orang kayak malahn perilaku mana orang sederhana apa pamer kaya dunia akhirat mampus kamu harta kagak akan bawa mati pants di buang laut kamu orang paling anehhh,60,46
35,negative,"cari sensasi supaya tenar, trus banya folowers nya. gak gt gt jg kalee... darar orang setres, ngomong aja masih belepotan gk jelas gt. kamfungan",cari sensasi tenar terus banya followers nya gitu gitu kalee darar orang tres bicara masih belepotan jelas gitu kamfungan,24,19
36,negative,ngomong aja belepotan banyak gaya lu bencong,bicara belepotan banyak gaya kamu banci,7,6
37,negative,Orang kebanyakAN makan TAIK ya gini!OTAKnya udah penuh sama TAIK jdi gak bisa berfikir positif!dari cara dia berbicara aja Gak BERMORAL!dasar kaum2 LAKNAT BANCI ANJING kbanyakan BURIT SIH LO jdi Stres!MANUSIA ogah JUMPA sama LO anjing!cuma ANJING yg mau ketemu sama LO taik!,orang banyak makan taik gin otak penuh sama taik jadi bisa berfikir positif cara bicara tidak moral dasar kaum kutuk banci anjing kbanyakan burit sih lo jadi stres manusia ogah jumpa sama lo anjing cuma anjing mau ketemu sama lo taik,43,41
38,negative,Sikat abiss lahh orng2 sialan kaya gini. Pemimpin negara sendiri gak di hormatin. Jgn mentang2 Bapak President kita terlalu baik jadi di sembarangin. Saya marah.. Gak boleh kita hina pemimpin kita sendiri.. Saya harap segera di tindak hukum orng iniÖ,sikat abiss lahh orng sial kayak gin pimpin negara sendiri hormatin jangan mentang ayah president terlalu baik jadi sembarangin marah boleh hina pimpin sendiri harap segera di tindak hukum orng ini,40,31
39,negative,Jijik banget lihat tingkah si upil ini. Mudah2an secepatnya tidur selamanya,jijik banget lihat tingkah si upil mudah cepat tidur lama,11,10
40,negative,"WONG EDAN NIH ORANG, UDH MAKAN UANG RAKYAT TIDUR PULA",wong edan orang makan uang rakyat tidur,10,7
41,negative,"Manusia laknat, matinya di apain ya",manusia kutuk mati apain,6,4
42,negative,Sakit di otak sama hatinya itu mah dia. Udah gak ada nurani dan urat malunya. Pajak saya loh yang ngegaji orang2 gila hormat ini,sakit otak sama hati mah sudah ada nurani urat malu pajak loh ngegaji orang gila hormat,24,16
43,negative,Anak babi bangsat pengen sumpel timah panas ke congor lu biar modar,anak babi sial ken sumpel timah panas congor kamu biar modar,12,11
44,negative,Pengen sumpel timah panas ke congor si anak babi pesek buruk rupa,ken sumpel timah panas congor si anak babi pesek buruk rupa,12,11
45,negative,Hey anak bangsat babi pesek buruk rupa keriting.pengen penggal leher lu sampe putus??lumayan buat makanan buaya??,hey anak sial babi pesek buruk rupa keriting ken penggal leher kamu sampe putus lumayan makan buaya,16,17
46,negative,"RATU PELAKOR SEJAGAT RAYA, DIMANA2 LONTE YA GAK PUNYA MALU. YG NGERASA LONTE DISINI TOLONG PUNYA MALU DIKIT",ratu rebut laki orang jagat raya lacur tidak punya malu ngerasa lacur sini punya malu dikit,18,16
47,negative,Wah ini mahhhh pertemuan buah ranum dan buah busuk ??....dah tau dong yg busuk yg manah ??????????....mentok2nya mah gitu aja kalo pelakor??,wah mahhhh temu buah ranum buah busuk dah tau dongs busuk manah mentok mah gitu kalau rebut laki orang,22,19
48,negative,"Ah manda mah gatel, ga bisa liyat cowo dikit lgsg disosor.. Begok aje yg mau ama manda . kegatelan jadi cewe",ah manda mah gatal bisa liyat cowo dikit lgsg sosor begok aje mau sama manda kegatelan jadi cewe,21,18
49,negative,"Si amanda mukanya ke tante"" umur baru berapa tp muka boros banget .... dasar cabe . Jujur gua mah kgk suka ama ni haltis",si amanda muka tante umur baru berapa muka boros banget dasar cabe jujur gua mah kgk suka sama ni haltis,24,20
50,negative,"Astagah, demen ama cewek dekil kumel. Ibaratnya dari nagita turun ke att. Nagita kaya emas att kaya barlen",astagah demen sama cewek dekil mel ibarat nagita turun ayutingting nagita kayak emas ayutingting kayak barlen,18,16
51,negative,Alah laki laki jaman skrg sm aja. Sama sama bejat. Mau ustad kek bukan kek gila bgt sm perempuan yg bukan istrinya. Aku stju bgt sm yg di blg ustazah  <USERNAME> . Msuk surga bkan krna poligami. Msh bnyk hal yg kita buat supaya bs jd akhlak baik untuk bs masuk surga. Yaa smoga aja sih perempuan perempuan pelakor diluar sna mendapat azab yg gak diampuni. Yang hidupnya gk bakal selamat dunia akhirat,alah laki laki zaman sekarang sama sama sama jahat mau ustad kayak bukan kayak gila banget sama perempuan bukan istri stju banget sama di blg ustazah username msuk surga bkan krna poligami msh bnyk bisa jadi akhlak baik untuk bisa masuk surga moga sih perempuan perempuan rebut laki orang luar sna dapat azab ampun yang hidup tidak bakal selamat dunia akhirat,73,61
52,negative,Gilaaaaa pelakor banyak bnget laki2 gatal juga banyak alasan untuk berpoligami woiii mikir pake otak haduh saya pikir dia org pintar tau agama mana baik mana buruk.... Allah menguji kesetiaan dan nafsunya eh malah kaya gtu... Menyakiti istri sama sja menutup pintu rejekimu... Anak istri kau korbankan! Sbg seorg imam keluarga dia telah gagal mmpertahankan rmh tangganya mencoreng nama baik nya sndiri... Smua org suka skrg benci sama dia.. M,gilaaaaa rebut laki orang banyak bnget laki gatal banyak alas poligam woiii mikir pakai otak haduh pikir orang pintar tau agama mana baik mana buruk allah uji setia nafsu eh malah kayak gitu sakit istri sama sja tutup pintu rejekimu anak istri kau korban seorg imam keluarga telah gagal mmpertahankan rmh tangga coreng nama baik nya sndiri smua orang suka sekarang benci sama m,70,64
53,negative,"Biasalah kalo pelakor banyak yang lbh ancur mukanya dari istri sah.. barang bagus pasti cepat laku, karena pelakor jelek nggak laku makanya ngembat laki orang.. ya udah sama2 GATEL kok.. cocok wes..  <USERNAME>",biasa kalau rebut laki orang banyak lebih ancur muka istri sah barang bagus cepat laku rebut laki orang jelek laku makanya ngembat laki orang sudah sama gatal kok cocok wes username,33,31
54,negative,"lama2 ilfil deh sm ni ertong. caption/ig story nya ngomongin org mlu, org kan jd ambigu nilai si a si b si c. udah gt kaya paling di zholimi, salahinnya depan lawan dong jgn ngmg di status ah. kata nya dewasa ??",lama ilfil deh sama ni artis terang ig cerita nya ngomongin orang mlu orang kan jadi ambigu nilai si a si b si c gitu kayak paling zholimi salahinnya depan lawan dongs jangan ngomong status ah kata nya dewasa,42,39
55,negative," <USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human",username lagi pikir manusia bodoh eehhh tante ibu oma empo otak kamu picik banget dia jga manusi biasa larang memang dunia orang larang ngungkapin unek stupid human,30,27
56,negative,"Heran deh yg ngatain si via baperan ya wajar lah dese baper karena udin muak sama orang yg munafik sok""an baik sama dese, lah apa kabar yg sering baperan sama laki orang ? Ga pada nyadar diri tuh pemujanya att, bukannya pada gotong royong buat nasehatin att ini malah menggila buat muja"" att dan mojokin viaa. Dese juga manusia keles ahh",heran deh ngatain si via vallen bawa asa wajar lah dese bawa asa udin muak sama orang munafik pura an baik sama dese lah apa kabar sering bawa asa sama laki orang nyadar diri puja ayutingting bukan pada gotong royong nasehatin ayutingting malah gila muja ayutingting mojokin viaa dese manusia les ahh,61,52
57,negative," <USERNAME> itu yg komen via nyinyir mulu duh kyak dia gak pernah nyinyirin orang aja, mungkin lebih parah, kalo org sudah sok bener mah gitu, pdhal ini kan media sosial, hak dia dong instagram juga instagram dia, yg penting kan nyinyir gak pake ig s",username yang komen via vallen cela mulu duh kyak pernah cela orang mungkin lebih parah kalau orang pura benar mah gitu pdhal kan media sosial hak dongs instagram instagram yang penting kan cela tidak pakai ig s,45,37
58,negative," <USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human",username lagi pikir manusia bodoh eehhh tante ibu oma empo otak kamu picik banget dia jga manusi biasa larang memang dunia orang larang ngungkapin unek stupid human,30,27
59,negative, <USERNAME> bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !,username nya cuma ngatain orang nyindir siapa netizen goblog banyak masyako,14,11
60,negative," <USERNAME> cara didik ortunya nagita bagus, makanya amat sangat heran dg balajaer, kan nagita yah yg dirugikan sm junjunganny.. Knp dia yg dibenci, bodoh bgt asli.",username cara didik ortunya nagita bagus makanya sangat heran bela artis kan nagita rugi sama junjunganny dia yang benci bodoh banget asli,26,22
61,negative," <USERNAME> pdhl km lebih kampungan loh,pake kerudung tapi mulutnya cuihh..",username padahal kamu lebih norak loh pakai kerudung mulut cuihh,10,10
62,negative,Belajaer tuh apa ya? Hahahaha bela artis ampe sebegitunya... manusah2 begoh ????????,belajaer apa hahahaha bela artis ampe begitu manusah begoh,12,9
63,negative," <USERNAME> iya banyak berarti mereka norak kampyuung, coba liat artis yang adem ayem liat isyana liat agnezmo liat mba liaaat..... jangan diliat aja coba di telaah deh, dikasih tau contoh artis yang better eh jawabannya begini ya cocok la",username iya banyak arti kampung kampyuung coba lihat artis adem ayem lihat isyana lihat agnezmo lihat mbak liaaat jangan liat coba telaah deh kasih tau contoh artis better eh jawab begini cocok la,39,33
64,negative," <USERNAME> gak usah sok jadi high class mba, liat komenmu sendiri, memang semua artis itu sama, beda2 mbak, ada yg suka curhat di ig, ada yg curhat ke temen ada yg curhat ke Tuhan.... ngak usah trus mulut situ maju dulu otaknya belakangan mikirnya, yg curh",username usah pura jadi high class mbak lihat komenmu sendiri memang semua artis sama beda mbak suka curhat ig yang curhat temen yang curhat tuhan ngak usah terus mulut situ maju dulu otak belakang mikirnya yang curh,46,37
65,negative," <USERNAME> lah goblok amat, gak semua netizen yg kontra sm postingan si via ini bakajaer kali, mba/mas. Ih goblok kok dipiara. Lol",username lah bodoh tidak semua netizen kontra sama postingan si via vallen bakajaer kali mbak mas ih bodoh kok piara laugh out loud,22,23
66,negative,Ini siapa sih emg artis? Ko artis indo bukan ny ngurus prestasi malah di sosmed ny beginian mulu isi nya jd jatoh nya kampungan,siapa sih emg artis ko artis indo bukan ny ngurus prestasi malah sosmed ny begini mulu isi nya jadi jatoh nya norak,24,22
67,negative," <USERNAME> baru itu aj kn y mba, apa lagi kaya agnes mo bnyk penghargaan ny tp g kampungan beda am yg ini",username baru saja kn y mbak apa kayak agnes monica mo bnyk harga ny tidak norak beda am ini,22,19
68,negative,Munafik bgt yg ngomong curhat di sosmed kampungan... Gua yakin elu juga kitu keleusss wkkwkww..... Mending mba via dia artis cantik bs nyanyi.. La elu pada? Lbh kampungan wkwkwkwkw!!!!,munafik banget bicara curhat sosmed norak gua yakin elu kitu keleusss wkkwkww mending mbak via vallen artis cantik nyanyi la elu lebih norak wkwkwkwkw,29,24
69,negative, <USERNAME>.wawan zzzzz emng ini artis ga punya tmn apa? Dikit dikit att hahaha lagi juga apa apa curhat di sosmed kampungan,username wawan zzzzz memang artis punya tmn apa dikit dikit ayutingting haha juga apa apa curhat sosmed norak,21,18
70,negative,Lemes ya mulutnya. Berani lewat ststus udah gitu tulisannya sengaja biar ga kebaca takut kali di labrak. Mmmm artis masih kampungan sih ya jadi wajar lah ya ????????,lemes mulut berani lewat ststus gitu tulis sengaja biar baca takut kali labrak mmmm artis norak sih jadi wajar lah,28,20
71,negative, <USERNAME> main main lah ke jawa timur.. Biar ga begok!!,username main main lah jawa timur biar begok,10,8
72,negative, <USERNAME> bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !,username nya cuma ngatain orang nyindir siapa netizen goblog banyak masyako,14,11
73,negative," <USERNAME> dia udah nunjukin karyanya, situ pny karya apa? Karya nyinyir hidupnya Via?? Tolol ??",username sudah nunjukin karya situ pny karya apa karya cela hidup via vallen bodoh,15,14
74,negative," <USERNAME> siapa bilang gw fansnya Via?? Duh nantangin gw nih org... anak tolol ank alay, jablay!",username siapa kata fansnya via vallen duh nantangin ini orang anak bodoh ank kana jalang,16,15
75,negative, <USERNAME> yutub apaan ya mba? Aplikasi baru ya? Sy taunya youtube. Mba gak tau apa ya seseorg bs dpt penghasilan besar salah satunya dr youtube loh. Mreka jg di bayar apalagi klo bnyk yg ntn video mreka. Sekolah yg bener deh mba biar pinter. Generasi muda,username yutub apa mbak aplikasi baru saya tau youtube mbak tau apa seseorg dapat hasil besar salah satu youtube loh mreka di bayar kalau bnyk ntn video mreka sekolah benar deh mbak biar pinter generasi muda,46,36
76,negative,"gue suka gangerti deh yaa, kenapa kalo via vallen bikin status atau apalah itu disangkut pautin ama att mulu?? padahal att nya aja biasa aja.. Fansnya sih yg bikin jelek.. Orang kalo di sangkut pautin mulu jg lama-lama gerah kali..",suka gangerti deh kenapa kalau via vallen vallen buat status apa sangkut pautin sama ayutingting mulu padahal ayutingting nya biasa fansnya sih buat jelek orang kalau sangkut pautin mulu lama lama gerah kali,40,33
77,negative,Jujur aja ya ni org malah bagusan kaga oplas..ada tu foto dia sblm dn sesudah oplas..dioplas mukanya aneh...kyknya gagal oplasnya...,jujur ya ni orang malah bagus kaga oplas itu foto sblm dn oplas dioplas muka kayak gagal oplasnya,20,18
78,negative,Noraaak abiiis... Baru kebeli emas az pamer aplg mainan berlian ciiinnnnn.... ??,noraaak abiiis baru kebel emas az pamer aplg main berlian ciiinnnnn,12,11
79,negative,Before and after pasca oplas ga ngefek ya.. tetep jelek n serem mukanya..ahahahhaha..,before and after pasca oplas ngefek tetep jelek n rem muka ahahahhaha,13,12
80,negative,"Salfok ke mukanya, sumpah jelek... Oplas apaan model begitu... Failed!!!",salfok muka sumpah jelek oplas apa model failed,10,8
81,negative,Norak bener. Kegaet penjahat baru rasa.,kampung benar gaet jahat baru rasa,6,6
82,negative,"Najis..,apalagi d philipine biasa bgt kali,d sana aj bangga..jd perusak moral ko bangga..najis banget liatnya.ckp d sini aj komen ny,dia pngn ngetop lwt nitezerrre.....wkwkwk..ngarep laku",najis philipine biasa banget kali sana bangga jadi usak moral ko bangga najis banget liat ckp di sini komen ny pngn ngetop lwt nitezerrre wkwk ngarep laku,25,27
83,negative,Yang gua bingung jujur kenapa media pada rebutan ngeliput ini orang. Kayaknya cuman net doang media informasi yang masih waras,gua bingung jujur media rebut ngeliput orang kayak cuman net media informasi masih waras,20,14
84,negative,"Bukankah Jedun yg ga becus jadi perempuan terhormat, ga becus jadi perempuan cerdas, ga becus jadi perempuan yg mencari suami sah bukan suami orang, ga becus jadi perempuan yg menghindari narkoba, ga becus jadi perempuan yg menjaga nama baik keluarga... semoga hanya ada satu perempuan yg kayak kamu di dunia ini ya Jedun",bukankah jessica iskandar becus jadi perempuan hormat becus jadi perempuan cerdas becus jadi perempuan cari suami sah bukan suami orang becus jadi perempuan hindar narkoba tidak becus jadi perempuan jaga nama baik keluarga moga ada satu perempuan kayak kamu dunia ya jessica iskandar,53,43
85,negative,"cewe yg bgni yg hrsnya gosong jd abu aja di kebakaran pabrik yg lg viral kmrn tu. bnr2 slain ga brguna, gda otak.. cm modal ngangkang trs gebet laki org trs bangga.. btw klo emg instastory nya buat nyindir sesebini tua mah. ehhh at least biar ga becus jd prewi tp becus cuii jd emak. buktinya anak nya bejibun trs smua pro ke emaknya drpd bapaknya",cewe bgni hrsnya gosong jadi abu di bakar pabrik lagi viral kemarin bnr slain brguna gda otak cm modal ngangkang terus gebet laki orang terus bangga by the way kalau emg instastory nya nyindir bin tua mah ehhh at least biar becus jadi prewi becus cuii jadi ibu bukti anak nya bejibun terus smua pro emaknya drpd bapak,66,58
86,negative,"Hahaha..kasian ya...gak becus jadi perem...harus ngerebut laki orang dulu biar dikata ""perempuan""? Dasar perempuan tak sadar diri ente cuy.",haha kasi tidak becus jadi rem ngerebut laki orang dulu biar kata perempuan dasar perempuan tak sadar diri ente cuy,19,20
87,negative,Dasar artis abal abal enggk laku di layar kaca...udh Enggk ada duit kere Miskin..Jadi maen k dukun buat minta elmu pelet perebut suami org yg kaya...,dasar artis abal abal enggk laku layar kaca enggk duit kere miskin jadi maen k dukun minta elmu pelet rebut suami orang kayak,26,23
88,negative,"ih dia kan paling becus makrum, paling becus ngrebut suami orang hehe????",ih kan paling becus makrum paling becus ngrebut suami orang hehe,12,11
89,negative,Eeee si pelacur. Situ becus jd brempuan emang? Becus jadi sampah sih iya. Edeuuuuuh lonte lonte,eeee si lacur situ becus jadi brempuan memang becus jadi sampah sih iya edeuuuuuh lacur lacur,16,16
90,negative,"Biarin,,,puas puasin mumpung deseu masih brasa muda. Ntar klo dah tua juga nyaho! Karma itu ada.",biarin puas puasin mumpung deseu brasa muda ntar kalau dah tua nyaho karma ada,16,14
91,negative,Dia ini punya anak perempuan lho. Ibu macam apa contohin jelek ke anaknya. Jauh dari kata BECUS ini perempuan. Amit amit...,punya anak perempuan lho ibu macam apa contohin jelek anak jauh kata becus ini perempuan amit amit,21,17
92,negative,Kaya becus aja jd permpuan dia yng g becus jd perempuan ko sukanya sm laki orng heheh,kayak becus jadi permpuan yng becus jadi perempuan ko suka sama laki orng heheh,17,14
93,negative,Yg gk becus tuh loh jedun...hidup nya cuma bisanya ngerusak kbhgiaan org lain .mau hidup serba mewah tp g mau krja mlh morotin laki org..karma psti akn mnghampirimu????????,tidak becus loh jessica iskandar hidup nya cuma bisa ngerusak kbhgiaan orang mau hidup serba mewah tidak mau krja mlh morotin laki orang karma psti akn mnghampirimu,28,27
94,negative,Gue gak suka sm ni orang. Idupnya kebanyakan ribut.,tidak suka sama ni orang idupnya banyak ribut,9,8
95,negative,Dasar artis abal abal enggk laku di layar kaca...udh Enggk ada duit kere Miskin..Jadi maen k dukun buat minta elmu pelet perebut suami org yg kaya...,dasar artis abal abal enggk laku layar kaca enggk duit kere miskin jadi maen k dukun minta elmu pelet rebut suami orang kayak,26,23
96,negative,"Yg nama ny plagiat ya plagiat, walaupun laku tp tetep ajah ciptaan dri hasil plagiat..wkwkwkwk gua mah ogah dwngerin ajah udh pngen muntah",nama ny plagiat plagiat walaupun laku tetep ajah cipta hasil plagiat wkwkwkwk gua mah ogah dwngerin ajah pngen muntah,23,19
